trait_code	h2	intercept	max_abs_rg_with_any_trait	selected_for_efa	study_accession	biomarker_name	group	Z	h2_obs	h2_obs_se	n_independent_leads	reported_trait	ftp_path
L_VLDL_FC	0.13732220572053	1.31389852810911	0.996580482437009	False	GCST90451188	Free cholesterol in large VLDL	Lipoprotein subclasses	8.264150943396226	0.1752	0.0212	422	Free cholesterol in large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451188/GCST90451188.tsv.gz
L_VLDL_L	0.135436081373871	1.28154108088764	0.999690158725165	False	GCST90451189	Total lipids in large VLDL	Lipoprotein subclasses	8.281553398058252	0.1706	0.0206	400	Total lipids in large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451189/GCST90451189.tsv.gz
L_VLDL_PL	0.140556469865657	1.30788394268273	0.994555138494916	True	GCST90451191	Phospholipids in large VLDL	Lipoprotein subclasses	8.446009389671362	0.1799	0.0213	430	Phospholipids in large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451191/GCST90451191.tsv.gz
L_VLDL_TG	0.131983246986134	1.25034838974241	0.993131726265059	False	GCST90451194	Triglycerides in large VLDL	Lipoprotein subclasses	8.395939086294417	0.1654	0.0197	386	Triglycerides in large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451194/GCST90451194.tsv.gz
M_HDL_C	0.135579329102525	1.36027781762172	0.998645696150199	False	GCST90451198	Cholesterol in medium HDL	Lipoprotein subclasses	9.272727272727272	0.153	0.0165	422	Cholesterol in medium HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451198/GCST90451198.tsv.gz
M_HDL_CE	0.136674625990564	1.36113911420203	0.965417903777817	True	GCST90451196	Cholesteryl esters in medium HDL	Lipoprotein subclasses	9.248484848484848	0.1526	0.0165	425	Cholesteryl esters in medium HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451196/GCST90451196.tsv.gz
M_HDL_FC	0.126224853934404	1.35332843613347	0.995377811337113	False	GCST90451200	Free cholesterol in medium HDL	Lipoprotein subclasses	9.122699386503069	0.1487	0.0163	404	Free cholesterol in medium HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451200/GCST90451200.tsv.gz
M_HDL_L	0.111891058771274	1.34431791659517	0.987517402611056	True	GCST90451201	Total lipids in medium HDL	Lipoprotein subclasses	7.138121546961326	0.1292	0.0181	357	Total lipids in medium HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451201/GCST90451201.tsv.gz
M_HDL_PL	0.104176675786629	1.31591505849151	0.942782416299127	True	GCST90451203	Phospholipids in medium HDL	Lipoprotein subclasses	6.322751322751323	0.1195	0.0189	317	Phospholipids in medium HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451203/GCST90451203.tsv.gz
M_HDL_TG	0.0978300475791772	1.29746379964973	0.987557994990313	True	GCST90451206	Triglycerides in medium HDL	Lipoprotein subclasses	4.992337164750958	0.1303	0.0261	275	Triglycerides in medium HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451206/GCST90451206.tsv.gz
M_LDL_TG	0.126307658774937	1.30319148761576	0.989409109858593	True	GCST90451218	Triglycerides in medium LDL	Lipoprotein subclasses	7.353982300884955	0.1662	0.0226	398	Triglycerides in medium LDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451218/GCST90451218.tsv.gz
M_VLDL_FC	0.0952334522851754	1.25717544198909	0.986157749135684	False	GCST90451226	Free cholesterol in medium VLDL	Lipoprotein subclasses	4.254980079681275	0.1068	0.0251	319	Free cholesterol in medium VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451226/GCST90451226.tsv.gz
M_VLDL_L	0.108490957714088	1.28469037723922	0.984366089415561	False	GCST90451227	Total lipids in medium VLDL	Lipoprotein subclasses	5.570833333333334	0.1337	0.024	354	Total lipids in medium VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451227/GCST90451227.tsv.gz
